,polygon,polygon_name,geo,func,Polygon Geometry,num restaurants,centroid_x,centroid_y
0,1,KT,"1,2,5,4",MR,"POLYGON ((114.124456 22.284502, 114.125668 22.279051, 114.13335 22.284327, 114.133367 22.290534, 114.124456 22.284502))",58,114.1291939,22.28466884
1,2,PFL,"2,3,6,5",R,"POLYGON ((114.125668 22.279051, 114.128878 22.274865, 114.133401 22.277582, 114.13335 22.284327, 114.125668 22.279051))",3,114.1302893,22.27922614
2,3,SYP,"4,5,9,8,7",MR,"POLYGON ((114.133367 22.290534, 114.13335 22.284327, 114.146255 22.27973, 114.14687 22.287106, 114.147604 22.291782, 114.133367 22.290534))",72,114.1408235,22.28655549
3,4,C,"7,8,13,12",B,"POLYGON ((114.147604 22.291782, 114.14687 22.287106, 114.159476 22.277576, 114.164932 22.287256, 114.147604 22.291782))",190,114.1558007,22.28552524
4,5,WML,"8,9,14,13",MR,"POLYGON ((114.14687 22.287106, 114.146255 22.27973, 114.155917 22.272574, 114.159476 22.277576, 114.14687 22.287106))",55,114.1521561,22.27940003
5,6,MP,"9,10,15,19,18,14",R,"POLYGON ((114.146255 22.27973, 114.143097 22.273996, 114.15741 22.265945, 114.171727 22.266326, 114.173352 22.272573, 114.155917 22.272574, 114.146255 22.27973))",2,114.1582723,22.27104772
6,7,P,"10,11,15",R,"POLYGON ((114.143097 22.273996, 114.146381 22.257189, 114.15741 22.265945, 114.143097 22.273996))",0,114.1489627,22.26571
7,8,WC,"12,13,17,16",B,"POLYGON ((114.164932 22.287256, 114.159476 22.277576, 114.174873 22.278862, 114.175655 22.285659, 114.164932 22.287256))",27,114.1682766,22.28215537
8,9,EML,"13,14,18,17",MR,"POLYGON ((114.159476 22.277576, 114.155917 22.272574, 114.173352 22.272573, 114.174873 22.278862, 114.159476 22.277576))",162,114.1662073,22.2753331
9,10,CB,"16,17,18,21,20",MR,"POLYGON ((114.175655 22.285659, 114.174873 22.278862, 114.173352 22.272573, 114.187572 22.276069, 114.185117 22.285453, 114.175655 22.285659))",259,114.1802747,22.27953382
10,11,HV,"18,19,22,21",R,"POLYGON ((114.173352 22.272573, 114.171727 22.266326, 114.192252 22.259916, 114.187572 22.276069, 114.173352 22.272573))",16,114.1824886,22.26834894
11,12,NP,"20,21,25,24,23",MR,"POLYGON ((114.185117 22.285453, 114.187572 22.276069, 114.206757 22.287587, 114.209445 22.29572, 114.195078 22.296949, 114.185117 22.285453))",109,114.1964657,22.2881282
12,13,TK,"24,25,27,26",MR,"POLYGON ((114.209445 22.29572, 114.206757 22.287587, 114.222264 22.276778, 114.223165 22.289474, 114.209445 22.29572))",81,114.2157578,22.28703264
13,14,WKL,"28,29,30,31",B,"POLYGON ((114.1537573 22.29855892, 114.1539725 22.31220914, 114.163926 22.31233398, 114.1633862 22.29860894, 114.1537573 22.29855892))",2,114.1587658,22.30546537
14,15,JD,"30,31,32,33",MR,"POLYGON ((114.163926 22.31233398, 114.1633862 22.29860894, 114.1778478 22.3041499, 114.1730414 22.30808095, 114.163926 22.31233398))",136,114.1686216,22.30526138
15,16,TST,"31,32,34,35",MBR,"POLYGON ((114.1633862 22.29860894, 114.1778478 22.3041499, 114.1789065 22.29373435, 114.1661241 22.29108609, 114.1633862 22.29860894))",194,114.1718253,22.29709844
16,17,YMT,"30,33,32,36,37",R,"POLYGON ((114.163926 22.31233398, 114.1730414 22.30808095, 114.1778478 22.3041499, 114.1793415 22.30910506, 114.1736579 22.31415862, 114.163926 22.31233398))",22,114.1732995,22.31015629
17,18,MK,"30,37,53,38,39,40,41",MR,"POLYGON ((114.163926 22.31233398, 114.1736579 22.31415862, 114.1729115 22.31998629, 114.1743354 22.32681225, 114.1640956 22.3263059, 114.1660502 22.31878611, 114.1607352 22.31808682, 114.163926 22.31233398))",177,114.1684587,22.31956989
18,19,TKT,"29,30,41,40,39,43,42",MR,"POLYGON ((114.1539725 22.31220914, 114.163926 22.31233398, 114.1607352 22.31808682, 114.1660502 22.31878611, 114.1640956 22.3263059, 114.155863 22.32628159, 114.1517724 22.32153351, 114.1539725 22.31220914))",21,114.158587,22.31951513
19,20,SSP,"42,43,39,49,48,47",MR,"POLYGON ((114.1517724 22.32153351, 114.155863 22.32628159, 114.1640956 22.3263059, 114.1641979 22.33913808, 114.1608001 22.34105608, 114.1481386 22.32513765, 114.1517724 22.32153351))",153,114.1578925,22.33096851
20,21,CSW,"47,48,44,45,46",MR,"POLYGON ((114.1481386 22.32513765, 114.1608001 22.34105608, 114.1585935 22.34366795, 114.1466355 22.34113625, 114.142402 22.32815682, 114.1481386 22.32513765))",24,114.1506979,22.33535537
21,22,SKM,"39,38,52,51,50,49",R,"POLYGON ((114.1640956 22.3263059, 114.1743354 22.32681225, 114.1784253 22.32727012, 114.1784069 22.34517351, 114.1684353 22.34319874, 114.1641979 22.33913808, 114.1640956 22.3263059))",56,114.1715894,22.33505341
22,23,KLT,"51,52,55,56",R,"POLYGON ((114.1784069 22.34517351, 114.1784253 22.32727012, 114.1908271 22.32765095, 114.1846513 22.34364761, 114.1784069 22.34517351))",40,114.1831539,22.3349452
23,24,KH,"38,52,55,54,53",R,"POLYGON ((114.1743354 22.32681225, 114.1784253 22.32727012, 114.1908271 22.32765095, 114.1856191 22.3249245, 114.1729115 22.31998629, 114.1743354 22.32681225))",0,114.1796888,22.32485175
24,25,HMT,"53,37,36,71,54",R,"POLYGON ((114.1729115 22.31998629, 114.1736579 22.31415862, 114.1793415 22.30910506, 114.1852127 22.31472059, 114.1856191 22.3249245, 114.1729115 22.31998629))",8,114.1797548,22.31720189
25,26,HH,"32,34,72,70,36",MR,"POLYGON ((114.1778478 22.3041499, 114.1789065 22.29373435, 114.1926702 22.29900009, 114.1949505 22.31057896, 114.1793415 22.30910506, 114.1778478 22.3041499))",50,114.1857153,22.30314515
26,27,TKW,"36,70,69,55,54,71",MR,"POLYGON ((114.1793415 22.30910506, 114.1949505 22.31057896, 114.19575 22.3193864, 114.1908271 22.32765095, 114.1856191 22.3249245, 114.1852127 22.31472059, 114.1793415 22.30910506))",43,114.1894554,22.31715998
27,28,LF,"56,57,58,55",MR,"POLYGON ((114.1846513 22.34364761, 114.1905602 22.34739182, 114.2048677 22.33481923, 114.1908271 22.32765095, 114.1846513 22.34364761))",67,114.19342,22.33749331
28,29,KT,"55,58,64,63,65,68,69",R,"POLYGON ((114.1908271 22.32765095, 114.2048677 22.33481923, 114.2012039 22.32089287, 114.2100294 22.31334457, 114.2189841 22.30507208, 114.2154092 22.30193928, 114.19575 22.3193864, 114.1908271 22.32765095))",9,114.2032572,22.31887782
29,30,DH,"57,58,59,60,61",R,"POLYGON ((114.1905602 22.34739182, 114.2048677 22.33481923, 114.2113943 22.34026834, 114.2085955 22.34727972, 114.1975732 22.35536303, 114.1905602 22.34739182))",12,114.2015088,22.34512546
30,31,KLB,"58,59,62,63,64",R,"POLYGON ((114.2048677 22.33481923, 114.2113943 22.34026834, 114.2206471 22.32510918, 114.2100294 22.31334457, 114.2012039 22.32089287, 114.2048677 22.33481923))",18,114.2103058,22.32634194
31,32,NTK,"62,67,66,65,63",MR,"POLYGON ((114.2206471 22.32510918, 114.2259475 22.31841144, 114.2215894 22.3054824, 114.2189841 22.30507208, 114.2100294 22.31334457, 114.2206471 22.32510918))",38,114.2188953,22.31463532